user_id,Arabic,Azerbaijani,Chinese,English,French,German,Italian,Japanese,OtherLanguage,Russian,Spanish,Turkish
8,0,0,0,4,1,0,0,0,0,0,0,5
11,0,0,0,3,0,0,0,0,5,0,0,5
12,0,0,0,3,0,0,0,0,0,0,0,5
13,0,0,0,4,0,2,0,0,0,0,0,0
14,0,0,0,3,0,0,0,0,0,0,0,5
20,0,0,0,3,0,0,0,0,0,0,0,5
22,0,0,0,3,0,0,0,0,0,0,0,5
26,0,0,0,2,0,0,0,0,0,0,0,5
32,0,0,0,3,0,0,0,0,0,0,0,5
38,0,0,0,3,0,0,0,0,0,0,0,5
39,0,0,0,2,0,0,0,0,0,0,0,0
44,0,0,0,2,0,0,0,0,0,0,0,5
50,0,0,0,2,0,0,0,0,0,0,0,0
53,0,0,0,2,0,1,0,0,0,0,0,0
56,0,0,0,3,0,0,0,0,0,0,0,5
57,0,0,0,2,0,0,0,1,0,0,0,5
60,0,0,0,2,0,0,0,0,0,0,0,5
63,0,0,0,4,0,0,0,0,0,0,0,5
66,0,0,0,2,0,0,0,0,0,0,0,5
70,0,0,0,2,0,0,0,0,0,0,0,5
73,0,0,0,3,0,0,0,0,0,0,1,0
81,0,0,0,3,0,0,0,0,0,0,0,5
83,0,0,0,3,0,1,0,0,0,0,0,0
85,0,0,0,3,0,0,0,0,1,0,0,0
92,0,0,0,3,0,0,0,0,0,0,0,5
93,0,0,0,1,0,0,0,0,0,0,0,0
102,0,0,0,2,0,0,0,0,0,0,0,5
107,0,0,0,3,0,0,0,0,0,0,0,5
110,0,0,0,3,0,0,0,0,0,0,0,0
111,0,0,0,2,0,0,0,0,0,0,0,5
114,0,0,0,2,0,0,0,0,0,0,0,5
115,0,0,0,2,0,0,0,0,0,0,0,5
119,0,0,0,2,0,0,0,0,0,0,0,0
125,0,0,0,3,0,0,0,0,0,0,0,5
129,0,0,0,3,0,1,0,0,0,0,0,5
130,0,0,0,3,0,0,0,0,0,0,0,5
134,0,0,0,2,0,0,0,0,0,0,0,5
135,0,0,0,3,0,0,0,0,0,0,0,5
136,0,0,0,3,0,0,0,0,1,0,0,5
141,0,0,0,4,0,2,0,0,0,0,0,0
157,0,0,0,3,0,0,0,0,0,0,0,5
159,0,0,0,3,0,0,0,0,1,0,0,5
163,0,0,0,2,0,0,0,0,0,0,0,0
164,0,0,0,2,0,0,0,0,0,0,0,5
166,0,0,0,3,0,0,0,0,0,0,1,0
167,0,0,0,3,0,0,0,0,0,0,0,0
169,0,0,0,3,0,0,0,0,0,0,0,5
175,0,0,0,3,0,2,0,0,0,0,0,0
180,0,0,0,2,0,0,0,0,0,0,0,0
189,0,0,0,2,0,0,0,0,0,0,0,5
194,0,0,0,3,0,0,0,0,0,0,0,5
195,0,0,0,2,0,0,0,0,0,0,0,5
197,0,0,0,2,0,0,0,0,0,0,0,0
198,5,0,0,4,0,0,0,0,0,0,0,4
201,0,0,0,2,0,0,0,0,0,0,0,5
202,0,0,0,2,0,0,0,0,0,0,0,0
206,0,0,0,3,0,0,0,0,0,0,0,5
210,0,0,0,3,0,0,0,0,0,1,0,0
216,0,0,0,2,0,0,0,0,0,0,0,5
218,0,0,0,2,0,0,0,0,0,0,0,5
220,0,0,0,4,0,0,0,0,0,0,0,0
222,0,0,0,3,0,0,0,0,0,0,0,5
223,0,0,0,4,0,0,0,0,0,0,1,5
224,0,0,0,3,0,0,0,0,0,0,0,5
227,0,0,0,1,0,0,0,0,0,0,0,0
228,0,0,0,2,0,1,0,0,0,0,0,5
233,0,0,0,2,0,0,0,0,0,0,0,0
235,0,0,0,3,0,0,0,0,0,0,0,0
236,0,0,0,4,0,0,0,0,0,0,0,0
237,0,0,0,3,0,0,0,0,0,0,0,0
238,0,0,0,1,0,0,0,0,5,0,0,5
243,0,0,0,3,0,0,0,0,1,0,0,5
244,0,0,0,4,0,0,0,0,0,0,0,0
248,0,0,0,1,0,0,0,0,0,0,0,5
251,0,0,0,2,0,0,0,0,0,0,0,5
255,0,0,0,2,0,0,0,0,0,0,0,5
256,0,0,0,4,0,0,0,0,0,0,0,5
260,0,0,0,4,0,0,0,0,0,0,0,0
268,0,0,0,3,0,1,0,0,0,0,0,5
276,0,0,0,3,0,0,0,0,0,0,0,5
277,0,0,0,2,0,0,0,0,5,0,0,0
278,0,0,0,4,0,0,0,0,0,0,0,5
281,0,0,0,3,0,0,0,0,0,0,0,5
282,0,0,0,3,0,0,0,0,1,0,0,5
286,0,0,0,3,0,0,0,0,0,0,0,5
290,0,0,0,3,0,0,0,0,0,0,0,0
292,0,0,0,2,0,0,0,0,0,0,0,0
305,5,0,0,2,0,0,0,0,0,0,0,3
307,0,0,0,2,0,0,0,0,0,0,0,0
310,0,0,0,2,0,0,0,0,0,0,0,0
311,0,0,0,2,0,0,0,0,0,0,0,5
314,0,0,0,3,0,0,0,0,4,0,0,4
320,0,0,0,2,0,0,0,0,0,0,0,5
321,0,0,0,2,0,0,0,0,0,0,0,0
322,0,0,0,3,0,0,0,0,0,0,0,5
327,0,0,0,2,0,0,0,0,1,0,0,0
338,0,0,0,2,0,1,0,0,0,0,0,0
341,0,0,0,3,0,0,0,0,0,0,0,5
345,0,0,0,3,0,0,0,0,0,0,0,5
346,0,0,0,2,0,0,0,0,0,0,0,0
347,0,0,0,2,0,0,0,1,0,0,0,5
353,0,0,0,2,0,0,0,0,0,0,0,5
356,0,0,0,3,0,0,0,0,0,0,0,5
358,0,0,0,3,0,1,0,0,0,0,0,0
361,0,0,0,1,0,0,0,0,0,0,0,0
372,0,0,0,2,0,0,0,0,0,0,0,5
377,0,0,0,3,0,0,0,0,0,0,0,0
378,0,0,0,3,0,0,0,0,0,0,0,5
381,0,0,0,2,0,0,0,0,0,0,0,5
383,0,0,0,1,0,0,0,0,0,0,0,0
388,0,0,0,3,0,0,0,0,0,0,0,5
390,0,0,0,3,0,0,0,0,0,0,0,5
395,0,0,0,3,0,0,0,0,0,0,0,0
398,0,0,0,2,0,0,0,0,0,0,1,5
404,0,0,0,2,0,0,0,0,0,0,0,5
406,0,0,0,3,0,0,0,0,0,0,0,5
409,0,0,0,1,0,0,0,0,0,0,0,5
410,0,0,0,3,0,2,0,0,0,0,0,0
419,0,0,0,4,0,0,0,0,0,0,0,5
420,0,0,0,2,0,0,0,0,0,0,0,0
421,0,0,0,3,0,0,0,0,0,0,0,0
426,0,0,0,2,0,0,0,0,0,0,0,5
429,0,0,0,2,0,0,0,0,0,0,0,0
431,0,0,0,1,0,0,0,0,5,0,0,5
433,0,0,0,1,0,0,0,0,0,0,0,5
437,0,0,0,3,0,0,0,0,0,0,0,0
440,0,0,0,3,0,0,0,0,0,0,0,0
442,0,0,0,3,0,0,0,0,0,0,0,5
448,0,0,0,3,0,0,0,0,0,0,0,0
449,0,0,0,3,0,0,0,0,0,0,0,5
450,0,0,0,2,0,0,0,0,0,0,0,0
451,0,0,0,2,0,0,0,0,0,0,0,5
454,0,0,0,2,0,0,0,0,0,0,0,5
460,0,0,0,3,0,0,0,0,1,0,0,5
461,0,0,0,3,0,2,0,0,0,3,0,5
462,0,0,0,3,0,2,0,0,0,0,0,0
465,0,0,0,3,0,0,0,0,0,0,0,0
466,0,0,0,1,0,0,0,0,0,0,0,5
468,0,0,0,1,0,0,0,0,0,0,0,5
470,0,0,0,2,0,0,0,0,0,0,0,5
473,0,0,0,2,0,0,0,0,0,0,0,5
475,0,0,0,3,0,0,0,0,0,0,0,5
476,0,0,0,3,0,2,0,0,0,3,0,5
477,0,0,0,3,0,0,0,0,1,0,0,5
479,0,5,0,1,0,0,0,0,0,0,0,5
481,0,0,0,2,0,0,0,0,0,0,0,5
483,0,0,0,2,0,0,0,0,0,0,0,5
486,0,0,0,3,0,0,0,0,0,0,0,0
487,0,0,0,3,0,2,0,0,0,3,0,5
491,0,0,0,2,0,0,0,0,0,0,0,0
492,0,0,0,3,0,2,0,0,0,0,0,0
493,5,0,0,2,0,0,0,0,0,0,0,4
499,0,0,0,3,0,0,0,0,0,0,0,5
502,0,0,0,3,0,0,0,0,0,0,0,5
504,0,0,0,2,0,0,0,0,0,0,0,5
506,0,0,0,4,0,4,0,0,0,0,0,4
508,0,0,0,3,0,1,0,0,0,0,0,0
509,0,0,0,3,0,0,0,0,0,0,0,0
511,0,0,0,2,0,0,0,0,0,0,0,0
512,0,0,0,2,0,0,0,0,0,0,0,5
517,0,0,0,3,0,0,0,0,0,0,0,5
518,2,0,0,3,0,0,0,0,0,0,0,5
519,0,0,0,2,0,0,0,0,0,0,0,0
520,0,0,0,3,0,1,0,0,0,0,0,5
521,0,0,0,3,0,0,0,0,0,0,0,0
522,0,0,0,2,0,0,0,0,0,0,0,5
525,0,0,0,2,0,0,0,0,0,0,0,0
526,0,0,0,2,0,0,0,0,0,0,0,0
530,0,0,0,3,0,0,0,0,0,0,0,5
531,0,0,0,3,0,0,0,0,0,0,0,5
533,0,0,0,3,0,0,0,0,0,0,0,5
534,0,0,0,3,0,0,0,0,0,0,0,5
540,0,0,0,3,0,0,0,0,0,0,0,0
542,0,0,0,3,0,0,0,0,0,0,0,0
545,0,0,0,2,0,0,0,0,0,0,0,5
548,0,0,0,2,0,0,0,0,0,0,0,0
553,0,0,0,3,0,0,0,0,0,0,0,0
554,0,0,0,3,0,2,0,0,0,0,0,5
556,0,0,0,3,0,0,0,0,0,1,0,0
557,0,0,0,3,0,0,0,0,0,0,0,5
558,0,0,0,2,0,0,0,0,0,0,0,5
562,0,0,0,2,0,0,0,0,0,0,0,0
566,0,0,0,3,0,0,0,0,0,0,0,5
567,0,0,0,3,0,0,0,0,0,0,0,0
571,0,0,0,3,0,0,0,0,0,0,0,0
576,0,0,0,2,0,0,0,0,0,0,0,5
587,0,0,0,3,0,0,0,0,5,0,0,5
590,0,0,0,2,0,0,0,0,0,0,0,5
594,0,0,0,2,0,0,0,0,0,0,0,5
597,0,0,0,2,0,0,0,0,0,0,0,0
599,0,0,0,2,0,0,0,0,0,0,0,5
600,0,0,0,2,0,0,0,0,0,0,0,5
601,0,0,0,3,0,0,0,0,0,0,0,0
602,0,0,0,3,0,0,0,0,0,0,0,5
604,0,0,0,3,0,0,0,0,0,0,0,5
606,0,0,0,4,0,0,0,0,0,0,0,0
607,0,0,0,3,0,0,0,0,0,0,0,0
610,0,0,0,2,0,0,0,0,0,0,0,5
611,0,0,0,3,0,0,0,0,0,0,0,5
613,0,0,0,2,0,0,0,0,0,0,0,0
616,0,0,0,2,0,0,0,0,0,0,0,5
624,0,0,0,2,0,0,0,0,0,0,0,5
627,0,0,0,2,0,0,0,0,0,0,0,5
636,5,0,0,2,0,0,0,0,0,0,0,4
637,0,0,0,3,0,0,0,0,0,0,0,5
641,0,0,0,3,0,0,0,0,0,0,0,0
644,0,0,0,4,0,0,0,0,0,0,0,0
648,0,0,0,2,0,0,0,0,0,0,0,5
650,0,0,0,4,0,0,0,0,0,0,0,0
652,0,0,0,3,0,2,0,0,0,0,0,0
654,0,0,0,3,0,0,0,0,0,0,0,0
656,0,0,0,2,0,0,0,0,0,0,0,0
660,0,0,0,3,0,0,0,0,0,0,0,5
663,0,0,0,2,0,0,0,0,0,0,0,5
664,0,0,0,2,0,1,0,0,0,0,0,5
665,0,0,0,3,0,0,0,0,0,0,0,0
667,0,0,0,3,0,0,0,0,0,0,0,5
668,0,0,0,3,0,0,0,0,0,0,0,0
671,0,0,0,2,0,0,0,0,0,0,0,5
673,0,0,0,3,0,0,0,0,0,0,0,5
676,0,0,0,3,0,0,0,0,0,0,0,3
679,0,0,0,3,0,0,0,0,0,0,0,5
680,0,0,0,3,0,2,0,0,0,0,0,0
687,0,0,0,1,0,0,0,0,0,0,0,0
690,0,0,0,4,0,0,0,0,0,0,0,5
697,0,0,0,3,0,0,0,0,0,0,0,5
699,0,0,0,1,0,0,0,0,0,0,0,5
700,0,0,0,3,0,0,0,0,0,0,0,0
704,0,0,0,3,1,0,1,0,0,0,0,5
708,0,0,0,2,0,0,0,0,0,0,0,0
709,0,0,0,2,0,0,0,0,0,0,0,5
711,0,0,0,4,0,0,0,0,0,0,0,0
715,0,0,0,1,0,0,0,0,0,0,0,5
721,0,0,0,2,0,0,0,0,0,0,0,5
724,5,0,0,3,0,0,0,0,0,0,0,3
728,0,0,0,2,0,0,0,0,5,0,0,5
729,0,0,0,2,0,0,0,0,0,0,0,5
731,0,0,0,3,0,0,0,0,0,0,0,0
733,5,0,0,2,0,0,0,0,0,0,0,2
734,0,0,0,4,0,0,0,0,1,2,0,5
736,1,0,0,3,0,0,0,0,0,0,0,4
739,0,0,0,3,0,2,0,0,0,0,0,5
741,0,0,0,3,0,0,0,0,0,0,0,5
743,0,0,0,2,0,0,0,0,0,0,0,4
744,0,0,0,5,0,0,0,0,0,0,0,0
748,0,0,0,3,0,0,0,0,0,0,0,0
749,0,0,0,3,0,0,0,0,0,0,0,0
754,0,0,0,3,0,0,0,0,0,0,0,0
757,0,0,0,2,0,0,0,0,0,0,0,5
758,0,0,0,2,0,0,0,0,0,0,0,5
763,0,0,0,1,0,0,0,0,0,0,0,0
767,0,0,0,2,0,0,0,0,0,0,0,0
768,0,0,0,3,0,0,0,0,0,0,0,5
769,0,0,0,2,0,0,0,0,0,0,0,0
773,0,0,0,3,0,0,0,0,0,0,0,0
774,0,0,0,3,0,0,0,0,0,0,0,0
775,0,0,0,3,0,0,0,0,5,0,0,5
783,0,0,0,1,0,0,0,0,0,0,0,5
785,0,0,0,4,0,0,0,0,0,0,1,5
793,0,0,0,3,0,0,0,0,0,0,0,0
800,0,0,0,3,0,0,0,0,0,0,0,0
